freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
1.44543977074592e+03,-3.84376248392563e+01,-1.67806500815209e+02,-7.67678659422735e+01,2.09949344444724e+01,-1.15049319704897e+02,-1.57153892818854e+02
1.47910838816820e+03,-3.88331352389800e+01,-1.68111839214683e+02,-7.75633462018469e+01,2.04790778865619e+01,-1.16250673195438e+02,-1.57844957156840e+02
1.51356124843620e+03,-3.92288613698221e+01,-1.68412288109151e+02,-7.83590477448082e+01,1.99726432057223e+01,-1.17452106470270e+02,-1.58531691451932e+02
1.54881661891247e+03,-3.96247941723883e+01,-1.68708080841584e+02,-7.91549611239343e+01,1.94752669976513e+01,-1.18653615371831e+02,-1.59215005771027e+02
1.58489319246110e+03,-4.00209249541686e+01,-1.68999455370547e+02,-7.99510772972895e+01,1.89865833454568e+01,-1.19855194801767e+02,-1.59895846669908e+02
1.62181009735892e+03,-4.04172453671088e+01,-1.69286654787879e+02,-8.07473876023836e+01,1.85062231360691e+01,-1.21056838549804e+02,-1.60575200460748e+02
1.65958690743755e+03,-4.08137473847843e+01,-1.69569927874422e+02,-8.15438837302082e+01,1.80338133377748e+01,-1.22258539096280e+02,-1.61254096677184e+02
1.69824365246173e+03,-4.12104232790124e+01,-1.69849529696133e+02,-8.23405576989555e+01,1.75689762360003e+01,-1.23460287384397e+02,-1.61933611746933e+02
1.73780082874936e+03,-4.16072655957116e+01,-1.70125722243107e+02,-8.31374018272057e+01,1.71113286242722e+01,-1.24662072557744e+02,-1.62614872881330e+02
1.77827941003891e+03,-4.20042671297932e+01,-1.70398775114223e+02,-8.39344087063391e+01,1.66604809470692e+01,-1.25863881657946e+02,-1.63299062190284e+02
1.81970085860997e+03,-4.24014208988417e+01,-1.70668966250345e+02,-8.47315711719060e+01,1.62160363910587e+01,-1.27065699276628e+02,-1.63987421029753e+02
1.86208713666286e+03,-4.27987201153036e+01,-1.70936582719205e+02,-8.55288822736536e+01,1.57775899209693e+01,-1.28267507155016e+02,-1.64681254586995e+02
1.90546071796323e+03,-4.31961581568704e+01,-1.71201921555332e+02,-8.63263352438691e+01,1.53447272561096e+01,-1.29469283723643e+02,-1.65381936706241e+02
